,age,status,sex,body_type,drinks,height,New_Pets,New_Job,New_Education,New_religion,New_sign,New_smokes,Cluster
150,50.0,single,f,skinny,socially,160.02,Only_Dog,Active_working,Postgraduate_degree,atheism,Cancer,No,0
157,29.0,single,f,average,socially,172.72,Only_Dog,Active_working,Postgraduate_degree,agnosticism,Leo,No,3
158,54.0,single,f,full_figured,socially,175.26,Likes_Boths,Active_working,Graduate_Degree,other,Scorpio,No,0
167,26.0,single,f,curvy,socially,160.02,Likes_Boths,Active_working,Graduate_Degree,catholicism,Gemini,No,2
168,26.0,single,f,fit,socially,172.72,Only_Dog,Active_working,Graduate_Degree,agnosticism,Sagittarius,No,3
173,33.0,single,f,fit,socially,160.02,Likes_Boths,Active_working,Postgraduate_degree,atheism,Aquarius,No,2
176,27.0,single,m,athletic,socially,172.72,Likes_Boths,Active_working,Graduate_Degree,judaism,Virgo,No,3
177,29.0,single,m,a_little_extra,often,182.88,Only_Dog,Active_working,Dropped_out_of_High_School,buddhism,Cancer,Yes,4
180,32.0,single,m,fit,socially,175.26,Likes_Boths,Active_working,Graduate_Degree,atheism,Aquarius,No,3
181,21.0,single,f,fit,socially,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,catholicism,Aries,No,2
182,27.0,single,f,curvy,often,172.72,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Leo,No,3
188,28.0,single,f,athletic,rarely,170.18,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Taurus,No,2
189,37.0,single,m,fit,not at all,199.39,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Virgo,No,4
191,32.0,single,m,average,socially,175.26,Only_Dog,Active_working,Graduate_Degree,catholicism,Cancer,No,3
192,29.0,single,f,full_figured,often,175.26,Likes_Boths,Active_working,High_School,agnosticism,Virgo,Yes,3
195,32.0,single,f,a_little_extra,socially,160.02,Only_Dog,Active_working,Postgraduate_degree,catholicism,Capricorn,Yes,2
196,28.0,single,m,athletic,socially,170.18,Likes_Boths,Active_working,Postgraduate_degree,other,Aquarius,Yes,3
201,28.0,single,m,fit,socially,170.18,Only_Dog,Active_working,Graduate_Degree,other,Gemini,No,3
203,31.0,single,f,fit,socially,160.02,Likes_Boths,Student,Postgraduate_degree,agnosticism,Gemini,Yes,2
205,43.0,single,f,curvy,socially,175.26,Likes_Boths,Active_working,Postgraduate_degree,judaism,Virgo,No,1
207,24.0,single,f,fit,often,175.26,Only_Dog,Active_working,Graduate_Degree,catholicism,Pisces,No,3
209,30.0,seeing someone,f,thin,socially,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Gemini,No,2
211,33.0,single,m,average,rarely,182.88,Likes_Boths,Active_working,Graduate_Degree,atheism,Leo,No,4
216,33.0,single,m,athletic,often,177.8,Likes_Boths,Active_working,Graduate_Degree,christianity,Cancer,No,4
217,43.0,single,f,thin,socially,165.1,Likes_Boths,Active_working,Postgraduate_degree,buddhism,Virgo,No,0
221,35.0,single,f,fit,socially,162.56,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Pisces,No,2
223,42.0,single,f,athletic,socially,160.02,Likes_Boths,Active_working,Postgraduate_degree,christianity,Aries,No,0
227,41.0,single,f,athletic,not at all,180.34,Likes_Boths,Active_working,Postgraduate_degree,other,Aquarius,No,1
228,33.0,single,m,a_little_extra,socially,175.26,Only_Dog,Active_working,Graduate_Degree,agnosticism,Virgo,No,3
231,50.0,single,f,thin,socially,167.64000000000001,Only_Dog,Active_working,Graduate_Degree,christianity,Leo,No,0
233,66.0,single,f,fit,socially,165.1,Likes_Boths,Retired,Graduate_Degree,christianity,Pisces,No,0
234,33.0,seeing someone,m,average,socially,172.72,Likes_Boths,Active_working,Graduate_Degree,catholicism,Leo,No,3
236,53.0,single,f,fit,socially,157.48,Only_Dog,Active_working,Postgraduate_degree,buddhism,Pisces,Yes,0
239,19.0,single,m,average,socially,185.42000000000002,Likes_Boths,Student,High_School,judaism,Aquarius,No,4
240,35.0,single,m,average,rarely,170.18,Only_Dog,Active_working,Graduate_Degree,christianity,Scorpio,No,3
242,30.0,single,m,average,socially,175.26,Likes_Boths,Active_working,Graduate_Degree,christianity,Aries,No,3
243,29.0,single,m,fit,socially,199.39,Only_Dog,Active_working,Graduate_Degree,atheism,Leo,No,4
244,32.0,seeing someone,f,fit,often,154.94,Only_Dog,Active_working,Graduate_Degree,other,Virgo,No,2
245,45.0,single,f,full_figured,rarely,160.02,Only_Dog,Active_working,Graduate_Degree,christianity,Scorpio,No,0
247,36.0,single,f,average,socially,160.02,Only_Cat,Active_working,Postgraduate_degree,atheism,Gemini,No,2
249,34.0,single,f,average,socially,157.48,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Gemini,Yes,2
255,46.0,single,m,fit,socially,172.72,Only_Dog,Active_working,Graduate_Degree,christianity,Gemini,No,1
262,40.0,single,f,average,socially,157.48,Only_Cat,Active_working,Postgraduate_degree,catholicism,Aquarius,No,0
264,41.0,single,m,athletic,rarely,170.18,Likes_Boths,Active_working,Graduate_Degree,atheism,Pisces,Yes,1
265,29.0,single,f,athletic,socially,157.48,Only_Dog,Active_working,Graduate_Degree,christianity,Taurus,No,2
266,53.0,single,f,average,rarely,175.26,Likes_Boths,Active_working,Graduate_Degree,christianity,Libra,No,0
267,39.0,single,m,fit,rarely,175.26,Likes_Boths,Active_working,Postgraduate_degree,other,Cancer,No,1
272,59.0,single,f,thin,not at all,160.02,Likes_Boths,Active_working,Graduate_Degree,judaism,Virgo,No,0
275,35.0,single,m,average,socially,170.18,Likes_Boths,Active_working,Postgraduate_degree,atheism,Pisces,No,3
278,42.0,single,f,fit,rarely,162.56,Only_Cat,Active_working,Graduate_Degree,buddhism,Aquarius,No,0
280,27.0,single,m,athletic,rarely,199.39,Don't_Like_it,Active_working,Graduate_Degree,other,Taurus,No,4
281,45.0,single,f,average,socially,152.4,Likes_Boths,Active_working,Graduate_Degree,other,Libra,No,0
283,47.0,single,m,average,rarely,175.26,Likes_Boths,Active_working,Graduate_Degree,christianity,Aries,No,1
287,49.0,single,f,average,socially,160.02,Likes_Boths,Active_working,Graduate_Degree,buddhism,Taurus,No,0
290,26.0,single,m,curvy,socially,193.04,Likes_Boths,Active_working,Postgraduate_degree,atheism,Gemini,No,4
298,48.0,available,f,average,socially,157.48,Only_Dog,Active_working,Graduate_Degree,agnosticism,Taurus,No,0
300,47.0,single,m,fit,not at all,182.88,Only_Dog,Active_working,High_School,agnosticism,Pisces,No,1
302,37.0,single,f,fit,often,165.1,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Virgo,Yes,2
304,32.0,single,m,athletic,socially,180.34,Only_Dog,Active_working,Graduate_Degree,catholicism,Leo,No,4
305,42.0,single,f,fit,socially,180.34,Only_Dog,Active_working,Postgraduate_degree,buddhism,Libra,No,1
308,42.0,single,m,average,socially,190.5,Likes_Boths,Active_working,Graduate_Degree,other,Libra,Yes,1
310,55.0,single,m,average,socially,185.42000000000002,Likes_Boths,Active_working,Graduate_Degree,christianity,Scorpio,No,1
312,25.0,single,m,fit,socially,175.26,Only_Cat,Active_working,Graduate_Degree,buddhism,Leo,No,3
313,31.0,single,f,average,not at all,162.56,Likes_Boths,Active_working,Graduate_Degree,other,Scorpio,No,2
319,43.0,single,f,thin,socially,157.48,Likes_Boths,Active_working,Graduate_Degree,other,Virgo,No,0
322,19.0,single,f,average,socially,170.18,Likes_Boths,Student,Graduate_Degree,atheism,Gemini,Yes,2
324,44.0,single,f,fit,socially,172.72,Only_Dog,Active_working,Postgraduate_degree,other,Pisces,No,1
328,63.0,single,f,average,socially,165.1,Likes_Boths,Active_working,Graduate_Degree,judaism,Leo,No,0
335,61.0,single,f,average,socially,160.02,Likes_Boths,Retired,High_School,atheism,Capricorn,Yes,0
337,34.0,single,f,athletic,socially,165.1,Only_Dog,Active_working,Graduate_Degree,catholicism,Leo,No,2
338,34.0,single,f,athletic,socially,170.18,Only_Dog,Active_working,Postgraduate_degree,agnosticism,Taurus,No,2
339,36.0,single,m,thin,socially,182.88,Likes_Boths,Active_working,Postgraduate_degree,other,Scorpio,No,1
340,29.0,single,m,fit,socially,180.34,Likes_Boths,Active_working,Graduate_Degree,other,Leo,No,4
343,28.0,single,f,athletic,socially,157.48,Only_Dog,Active_working,Graduate_Degree,christianity,Pisces,No,2
344,20.0,single,m,average,socially,175.26,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Cancer,No,3
345,40.0,single,m,jacked,socially,180.34,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Gemini,Yes,1
347,19.0,single,m,a_little_extra,not at all,182.88,Only_Dog,Student,Graduate_Degree,atheism,Aquarius,No,4
349,66.0,single,m,average,not at all,185.42000000000002,Only_Dog,Active_working,Postgraduate_degree,buddhism,Taurus,No,1
351,28.0,single,m,skinny,socially,190.5,Only_Dog,Active_working,Graduate_Degree,agnosticism,Leo,Yes,4
352,34.0,available,m,fit,rarely,187.96,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Libra,No,4
353,32.0,single,m,average,socially,187.96,Likes_Boths,Student,Graduate_Degree,catholicism,Libra,No,4
354,34.0,single,f,curvy,rarely,172.72,Likes_Boths,Active_working,Graduate_Degree,atheism,Cancer,No,3
356,26.0,single,m,fit,socially,190.5,Only_Dog,Active_working,Graduate_Degree,buddhism,Aries,No,4
358,44.0,single,f,average,socially,165.1,Likes_Boths,Active_working,Graduate_Degree,other,Libra,No,0
361,30.0,single,f,skinny,often,175.26,Likes_Boths,Active_working,Graduate_Degree,other,Libra,No,3
362,26.0,single,m,average,socially,185.42000000000002,Likes_Boths,Active_working,Postgraduate_degree,atheism,Taurus,No,4
367,35.0,single,m,skinny,socially,180.34,Likes_Boths,Active_working,Graduate_Degree,atheism,Leo,No,4
372,35.0,single,m,average,socially,180.34,Likes_Boths,Active_working,Postgraduate_degree,atheism,Gemini,No,4
378,47.0,single,f,athletic,socially,167.64000000000001,Only_Dog,Active_working,Graduate_Degree,christianity,Pisces,No,0
384,30.0,single,m,athletic,socially,182.88,Likes_Boths,Student,Graduate_Degree,atheism,Gemini,No,4
387,49.0,single,m,athletic,socially,162.56,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Leo,No,0
390,57.0,single,m,athletic,rarely,175.26,Only_Dog,Retired,Graduate_Degree,christianity,Leo,No,0
392,37.0,single,f,a_little_extra,often,154.94,Likes_Boths,Active_working,Graduate_Degree,catholicism,Aquarius,No,2
395,50.0,single,f,fit,socially,167.64000000000001,Only_Cat,Active_working,Graduate_Degree,other,Capricorn,No,0
396,40.0,single,m,fit,socially,185.42000000000002,Likes_Boths,Active_working,Postgraduate_degree,other,Gemini,No,1
397,37.0,single,m,fit,not at all,193.04,Likes_Boths,Active_working,High_School,other,Cancer,No,1
398,60.0,single,m,fit,socially,180.34,Only_Dog,Active_working,Postgraduate_degree,agnosticism,Libra,No,1
401,29.0,single,m,athletic,socially,180.34,Only_Dog,Active_working,Graduate_Degree,other,Cancer,Yes,4
404,57.0,single,f,average,rarely,157.48,Likes_Boths,Active_working,Graduate_Degree,other,Libra,No,0
405,43.0,single,f,curvy,socially,170.18,Only_Cat,Active_working,Graduate_Degree,buddhism,Cancer,No,0
411,41.0,single,f,thin,socially,162.56,Only_Dog,Active_working,Graduate_Degree,catholicism,Taurus,No,0
414,49.0,single,f,curvy,socially,172.72,Likes_Boths,Active_working,Postgraduate_degree,other,Virgo,No,0
415,59.0,single,m,average,socially,180.34,Only_Dog,Active_working,Graduate_Degree,christianity,Capricorn,No,1
417,38.0,single,m,fit,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,christianity,Cancer,Yes,1
420,33.0,single,f,full_figured,often,185.42000000000002,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Libra,No,4
422,36.0,single,m,average,socially,180.34,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Aries,No,3
423,40.0,available,f,full_figured,socially,162.56,Likes_Boths,Active_working,Graduate_Degree,buddhism,Aquarius,Yes,0
431,28.0,single,m,fit,socially,170.18,Only_Dog,Active_working,Graduate_Degree,atheism,Taurus,No,3
432,31.0,single,m,used_up,very often,165.1,Only_Dog,Active_working,Graduate_Degree,christianity,Virgo,Yes,2
435,28.0,single,f,average,socially,167.64000000000001,Only_Dog,Active_working,Graduate_Degree,catholicism,Virgo,No,2
436,47.0,single,m,fit,socially,193.04,Likes_Boths,Active_working,High_School,catholicism,Virgo,No,1
437,24.0,single,m,fit,socially,175.26,Only_Cat,Active_working,Graduate_Degree,other,Gemini,No,3
442,39.0,single,m,average,not at all,180.34,Likes_Boths,Active_working,Graduate_Degree,catholicism,Libra,Yes,1
443,52.0,single,f,fit,socially,157.48,Likes_Boths,Active_working,Graduate_Degree,other,Aquarius,No,0
449,60.0,single,m,fit,not at all,177.8,Likes_Boths,Active_working,Postgraduate_degree,buddhism,Virgo,No,1
450,52.0,single,f,thin,often,165.1,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Aquarius,No,0
452,31.0,single,f,overweight,socially,172.72,Only_Dog,Active_working,Graduate_Degree,agnosticism,Sagittarius,No,3
458,31.0,single,f,fit,rarely,162.56,Likes_Boths,Active_working,Postgraduate_degree,other,Pisces,No,2
459,32.0,single,m,athletic,socially,182.88,Likes_Boths,Active_working,Graduate_Degree,buddhism,Aries,No,4
460,22.0,single,f,average,socially,162.56,Only_Dog,Active_working,Graduate_Degree,catholicism,Pisces,No,2
463,44.0,single,m,average,socially,182.88,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Capricorn,Yes,1
466,23.0,single,f,average,socially,162.56,Likes_Boths,Student,Postgraduate_degree,catholicism,Cancer,No,2
467,33.0,single,f,average,socially,165.1,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Sagittarius,No,2
468,24.0,seeing someone,f,fit,socially,162.56,Only_Dog,Active_working,Graduate_Degree,catholicism,Sagittarius,No,2
469,32.0,single,f,average,socially,162.56,Likes_Boths,Active_working,Graduate_Degree,christianity,Taurus,No,2
471,39.0,single,f,fit,not at all,160.02,Only_Dog,Active_working,Graduate_Degree,other,Virgo,No,0
472,47.0,single,f,fit,socially,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,other,Virgo,No,0
473,33.0,single,m,athletic,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,christianity,Taurus,Yes,4
475,42.0,single,f,fit,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,christianity,Leo,No,0
476,42.0,single,m,fit,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Capricorn,No,1
478,35.0,single,m,fit,often,185.42000000000002,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Leo,No,4
483,27.0,single,f,curvy,socially,157.48,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Sagittarius,No,2
490,23.0,single,m,overweight,very often,182.88,Only_Dog,Student,Graduate_Degree,other,Leo,No,4
491,23.0,single,f,full_figured,rarely,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,other,Capricorn,No,2
493,48.0,single,m,fit,rarely,177.8,Likes_Boths,Active_working,Postgraduate_degree,judaism,Scorpio,No,1
496,59.0,single,m,fit,socially,162.56,Don't_Like_it,Active_working,Graduate_Degree,other,Scorpio,No,0
502,30.0,available,m,athletic,socially,190.5,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Leo,No,4
504,18.0,single,m,athletic,socially,185.42000000000002,Likes_Boths,Student,Graduate_Degree,other,Aries,No,4
506,32.0,single,f,athletic,socially,157.48,Only_Dog,Active_working,Graduate_Degree,catholicism,Scorpio,No,2
507,27.0,single,f,thin,socially,162.56,Likes_Boths,Active_working,Graduate_Degree,atheism,Capricorn,No,2
512,43.0,single,m,average,often,175.26,Likes_Boths,Active_working,Postgraduate_degree,atheism,Leo,Yes,1
517,34.0,single,m,rather_not_say,rarely,182.88,Only_Dog,Active_working,Postgraduate_degree,christianity,Libra,No,4
518,41.0,single,m,average,socially,190.5,Likes_Boths,Active_working,Postgraduate_degree,buddhism,Cancer,Yes,1
519,27.0,single,f,average,socially,170.18,Likes_Boths,Student,Postgraduate_degree,other,Scorpio,Yes,3
523,28.0,single,m,athletic,socially,182.88,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Sagittarius,No,4
525,38.0,single,f,athletic,socially,172.72,Only_Dog,Active_working,Postgraduate_degree,agnosticism,Capricorn,No,3
530,31.0,single,m,average,socially,175.26,Likes_Boths,Active_working,Graduate_Degree,other,Capricorn,No,3
531,26.0,single,f,curvy,socially,162.56,Likes_Boths,Student,Graduate_Degree,christianity,Taurus,No,2
532,37.0,single,m,fit,socially,190.5,Likes_Boths,Active_working,Graduate_Degree,christianity,Aquarius,No,4
535,50.0,single,m,average,often,177.8,Likes_Boths,Active_working,Graduate_Degree,buddhism,Cancer,No,1
542,49.0,available,m,athletic,socially,177.8,Likes_Boths,Active_working,High_School,agnosticism,Aquarius,No,1
546,32.0,single,m,curvy,rarely,199.39,Likes_Boths,Active_working,Graduate_Degree,buddhism,Aries,Yes,4
552,44.0,available,m,athletic,socially,193.04,Likes_Boths,Active_working,Graduate_Degree,other,Aquarius,No,1
558,40.0,single,f,curvy,socially,177.8,Likes_Boths,Active_working,Postgraduate_degree,christianity,Scorpio,Yes,1
564,41.0,available,f,fit,often,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,atheism,Cancer,No,0
565,45.0,single,m,athletic,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,other,Aquarius,No,1
568,23.0,single,m,fit,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,other,Libra,No,3
570,29.0,single,m,average,socially,187.96,Only_Dog,Active_working,Postgraduate_degree,catholicism,Libra,No,4
572,33.0,single,f,thin,not at all,152.4,Only_Dog,Active_working,Graduate_Degree,christianity,Virgo,No,2
574,25.0,single,m,athletic,socially,160.02,Only_Dog,Active_working,Graduate_Degree,catholicism,Pisces,Yes,2
575,61.0,single,m,fit,socially,172.72,Only_Dog,Active_working,Graduate_Degree,catholicism,Gemini,No,0
580,31.0,single,m,athletic,rarely,195.58,Only_Dog,Active_working,Postgraduate_degree,christianity,Cancer,Yes,4
587,27.0,single,f,curvy,socially,154.94,Only_Dog,Active_working,Postgraduate_degree,buddhism,Cancer,No,2
590,44.0,seeing someone,f,thin,socially,160.02,Likes_Boths,Active_working,Graduate_Degree,other,Aries,Yes,0
592,30.0,single,f,fit,rarely,167.64000000000001,Likes_Boths,Active_working,Graduate_Degree,atheism,Pisces,No,2
593,58.0,single,f,curvy,socially,162.56,Only_Cat,Active_working,Postgraduate_degree,judaism,Aquarius,No,0
594,33.0,single,f,average,socially,160.02,Likes_Boths,Active_working,Graduate_Degree,judaism,Cancer,No,2
597,38.0,single,f,curvy,socially,170.18,Likes_Boths,Active_working,Postgraduate_degree,other,Aquarius,No,0
598,47.0,single,f,average,rarely,160.02,Likes_Boths,Active_working,Postgraduate_degree,catholicism,Sagittarius,No,0
600,28.0,available,m,fit,often,172.72,Only_Dog,Active_working,High_School,other,Virgo,No,3
603,52.0,single,f,average,socially,160.02,Only_Dog,Active_working,Postgraduate_degree,catholicism,Scorpio,No,0
605,33.0,single,f,curvy,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Leo,No,2
609,57.0,single,f,a_little_extra,not at all,172.72,Likes_Boths,Active_working,Graduate_Degree,catholicism,Libra,No,0
612,35.0,single,m,fit,rarely,187.96,Likes_Boths,Active_working,Postgraduate_degree,atheism,Cancer,No,4
613,26.0,single,m,average,socially,185.42000000000002,Only_Dog,Active_working,Postgraduate_degree,judaism,Taurus,Yes,4
615,45.0,single,f,curvy,socially,160.02,Likes_Boths,Active_working,Postgraduate_degree,christianity,Aquarius,No,0
616,24.0,single,f,average,not at all,172.72,Don't_Like_it,Active_working,Graduate_Degree,agnosticism,Capricorn,Yes,3
620,25.0,single,f,fit,socially,172.72,Likes_Boths,Active_working,Graduate_Degree,christianity,Cancer,Yes,3
622,41.0,single,m,average,socially,185.42000000000002,Only_Dog,Active_working,Graduate_Degree,agnosticism,Taurus,No,1
623,26.0,single,f,skinny,socially,162.56,Only_Dog,Active_working,Graduate_Degree,christianity,Virgo,No,2
624,27.0,single,m,a_little_extra,often,180.34,Likes_Boths,Active_working,Graduate_Degree,other,Aquarius,Yes,4
626,39.0,single,f,athletic,socially,160.02,Only_Dog,Active_working,Graduate_Degree,catholicism,Scorpio,No,2
628,30.0,single,f,curvy,socially,162.56,Only_Dog,Active_working,Postgraduate_degree,atheism,Leo,No,2
632,27.0,single,m,athletic,very often,180.34,Only_Dog,Active_working,Graduate_Degree,other,Scorpio,Yes,4
634,31.0,available,m,thin,socially,187.96,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Aries,Yes,4
636,55.0,single,f,curvy,socially,162.56,Only_Cat,Active_working,Postgraduate_degree,buddhism,Aquarius,No,0
637,37.0,single,f,athletic,socially,165.1,Only_Dog,Active_working,Graduate_Degree,judaism,Virgo,No,2
639,32.0,single,f,average,socially,162.56,Only_Cat,Active_working,Postgraduate_degree,catholicism,Virgo,No,2
640,18.0,single,m,average,not at all,177.8,Likes_Boths,Active_working,High_School,catholicism,Capricorn,No,3
642,22.0,single,f,fit,socially,154.94,Likes_Boths,Active_working,Graduate_Degree,judaism,Pisces,No,2
653,27.0,single,f,skinny,often,175.26,Likes_Boths,Active_working,Graduate_Degree,atheism,Cancer,No,3
654,30.0,single,f,fit,rarely,172.72,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Aries,No,3
656,34.0,single,m,athletic,socially,180.34,Only_Dog,Active_working,Graduate_Degree,catholicism,Scorpio,No,4
660,31.0,single,m,fit,socially,177.8,Likes_Boths,Active_working,Postgraduate_degree,other,Pisces,No,4
661,41.0,single,m,thin,socially,177.8,Likes_Boths,Active_working,Graduate_Degree,atheism,Scorpio,No,1
662,30.0,single,m,fit,socially,185.42000000000002,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Gemini,No,4
663,27.0,single,m,skinny,often,185.42000000000002,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Cancer,No,4
665,33.0,single,m,athletic,socially,170.18,Likes_Boths,Active_working,Graduate_Degree,agnosticism,Capricorn,No,3
667,45.0,single,f,fit,socially,172.72,Likes_Boths,Active_working,Graduate_Degree,other,Taurus,No,1
668,36.0,single,m,fit,socially,170.18,Only_Dog,Student,Graduate_Degree,judaism,Sagittarius,No,3
673,34.0,single,m,average,socially,175.26,Likes_Boths,Active_working,Postgraduate_degree,agnosticism,Taurus,Yes,3
