Song,Artist(s),Lyrics
One Day,Type Barrow,tear heart dry laugh cry think time wonder go door live like know said sure rich men imagine poor one day baby old baby old think story could told one day baby old baby old think story could told need little kept thing never really think like never think true gon get blame guilt pain hurt shame founding father blame stuck hard reign said one day baby old baby old think story could told one day baby old baby old think story could told baby old could told baby old said one day baby old baby old think story could told one day baby old baby old think story could told
Riverside,Agnes Obel,river boat everybody go alone see rising sun river run water drink dreg look stone river bed tell eye never riverside water riverbe somebody call somebody say swim current float away river everyday god see everything torn river deep know go way riverside old river run past eye wash dirt riverside go water near river eye ear walk border fall water like stone chilled marrow bone go alone god see everything torn river deep know go way riverside god see everything torn river deep know go way riverside riverside riverside
Simply Falling,Iyeoka,go heart time thought pretending nothing look eye open playing game keep heartbeat spinning show love show love show everything heart capable reshape like butterfly origami broken heart time feel blue departed nothing keep away feeling know simply falling taking time envision heart justify gone moment tumble sometimes looking sunshine know right look eye show love show love show everything heart capable break away fire started broken heart time feel blue departed nothing keep away feeling know simply falling heart go arm falling deeper nothing break away broken heart time feel blue departed nothing keep away feeling know simply falling broken heart time feel blue departed nothing keep away feeling know simply falling heart go broken heart falling deeper falling deeper
Till I Collapse,Eminem,cause sometimes feel tired feel weak feel weak feel like wanna give got search within try find inner strength pull shit get motivation give quitter matter bad wanna fall flat face collapse till collapse spilling rap long feel em till day drop never say killing em cause stop penning em hip hop eminem subliminal thought stop sending em woman caught web spin em hock venom adrenalin shot penicillin could get illing stop amoxicillin real enough criminal cop killing hip hop villain minimal swap cop million pac listener coming feel gonna fear like showed spirit god life u hear lot lyric shock miracle product pop fizzing shizzle wizzle plot listen bizzles forgot slizzle give fuck till roof come till light go till leg give shut mouth till smoke clear high perhaps rip shit till bone collapse till roof come till light go till leg give shut mouth till smoke clear high perhaps rip shit till bone collapse music like magic certain feeling get real spit people feeling shit moment every single minute spend tryna hold cause may never get try get much shit run admit end end wit half shit get got list order list go reggie jay z pac biggie andre outkast jada kurupt na industry cause lot envy put list shit offend see walking round like nothing bothering even though half people got fuckin problem hate know respect got give press wet dream like bobby whitney nate hit till roof come till light go till leg give shut mouth till smoke clear high perhaps rip shit till bone collapse till roof come till light go till leg give shut mouth till smoke clear high perhaps rip shit till bone collapse soon verse start eat mc heart thinking go smart absurd people hang every word probably never get prop feel ever deserve never served spot forever reserved ever leave earth would death first cause heart heart know nothing could ever worse clever put together every verse thought sporadic act like addict rap like addicted smack like kim mathers want go forth back constant battle fact would rather sit back bomb rapper like full blown attack launching em track battling rap want static cause really think fact slim matter plaque platinum status wack baddest till roof come till light go till leg give shut mouth till smoke clear high perhaps rip shit till bone collapse till roof come till light go till leg give shut mouth till smoke clear high perhaps rip shit till bone collapse roof roof roof come roof come leg leg give underneath fall stand tall feel like one beat
Born For This,The Score,checking vital sign drawing battle line going war feeling rhythm inside chest need pen know born know born care critic word like physic force stop get think forget done till top know born know born believe believe write story believe believe army warrior learned love pain come different place name cause born broken one chose spark flame watch fire rage heart never tame cause cause cause cause born born struggled year tear faced doubt hide never gave fear deep within cause heard voice inside know born know born never lose voice cut noise know born know born believe believe write story believe believe army warrior learned love pain come different place name cause cause cause cause born born broken one chose spark flame watch fire rage heart never tame cause cause cause cause born born word write someone like know alone move make ya come mistake ever lose hope know born know born warrior learned love pain come different place name cause born broken one chose spark flame watch fire rage heart never tame cause cause cause cause born born
Sweet Child O' Mine ,Guns N' Roses,got smile seems reminds childhood memory everything fresh bright blue sky see face take away special place stare long probably break cry whoa sweet child mine whoa sweet love mine got eye bluest sky thought rain hate look eye see ounce pain hair reminds warm safe place child hide pray thunder rain quietly pas whoa sweet child mine whoa whoa sweet love mine whoa whoa sweet child mine whoa whoa sweet love mine whoa sweet child mine sweet love mine go go go go go go go sweet child go ay ay ay ay ay ay ay ay go ah ah go go go go go go sweet child sweet child mine
Smells Like Teen Spirit ,Nirvana,load gun bring friend fun lose pretend bored self assured know dirty word hello hello hello low hello hello hello low hello hello hello low hello hello hello light le dangerous entertain u feel stupid contagious entertain u mulatto albino mosquito libido hey yay worse best gift feel blessed little group always always end hello hello hello low hello hello hello low hello hello hello low hello hello hello light le dangerous entertain u feel stupid contagious entertain u mulatto albino mosquito libido hey yay forget taste guess make smile found hard hard find well whatever never mind hello hello hello low hello hello hello low hello hello hello low hello hello hello light le dangerous entertain u feel stupid contagious entertain u mulatto albino mosquito libido denial denial denial denial denial denial denial denial denial
Imagine Dragons,John Lennon,imagine heaven easy try hell u u sky imagine people livin today ah imagine country hard nothing kill die religion imagine people livin life peace may say dreamer one hope someday join u world one imagine possession wonder need greed hunger brotherhood man imagine people sharing world may say dreamer one hope someday join u world live one
You're the Voice,"John Farnham
",chance turn page write want write gotta make end meet get much older someone daughter someone son long look barrel gun voice try understand make noise make clear whoa gonna sit silence gonna live fear whoa time know stand together power powerful believing make better someone daughter someone son long look barrel gun voice try understand make noise make clear whoa gonna sit silence gonna live fear whoa someone daughter someone son long look barrel gun voice try understand make noise make clear whoa gonna sit silence gonna live fear whoa voice try understand make noise make clear whoa gonna sit silence gonna live fear whoa voice try understand make noise make clear whoa gonna sit silence gonna sit silence gonna live fear gonna live fear whoa voice try understand make noise make clear whoa gonna sit silence gonna live fear whoa
Glory Days,The Federal Empire,life fight killing find light telling everyday wake sacriface price pay watching time always slip away losin money mind today struggle hard never sleep night chasin dream stay alive l spent blood sweat tear pain waiting long glory day slave life away working hard glory day hearing voice feeding fear worst enemy mirror telling quit cave name written grave l spent blood sweat tear pain waiting long glory day slave life away working hard glory day working hard glory day working hard glory day l spent blood sweat tear pain waiting long glory day slave life away working hard glory day working hard glory day working hard glory day
Man on a mission,Oh The Larceny,sol shoe worn knee jean torn sweat comin shirt keep pushin even though hurt chasing know true nothing would everyone around drop never gonna ever stop waste another minute man mission man mission need permission man mission take take waiting wishin take take got ambition take take man mission look eye know gonna see fire standing way gonna day bleed dream build like never seen even mountain top never gonna ever stop wait another minute man mission man mission need permission man mission take take waiting wishin take take got ambition take take man mission wait another minute wait another minute wait another minute whoa wait another minute man mission man mission need permission man mission take take waiting wishin take take got ambition take take man mission take take take take take take man mission take take take take take take man mission
Stairway to Heaven,Led Zeppelin,lady sure glitter gold buying stairway heaven get know store closed word get came buying stairway heaven sign wall want sure cause know sometimes word two meaning tree brook songbird sings sometimes thought misgiven make wonder make wonder feeling get look west spirit cry leaving thought seen ring smoke tree voice stand looking make wonder really make wonder whispered soon call tune piper lead u reason new day dawn stand long forest echo laughter whoa whoa whoa bustle hedgerow alarmed spring clean may queen yes two path go long run still time change road make wonder whoa head humming go case know piper calling join dear lady hear wind blow know stairway lie whispering wind wind road shadow taller soul walk lady know shine white light want show everything still turn gold listen hard tune come last one one rock roll buying stairway heaven
Purple Rain,Prince,never meant cause sorrow never meant cause pain wanted one time see laughing want see laughing purple rain purple rain purple rain purple rain purple rain purple rain purple rain wanted see bathing purple rain never wanted weekend lover wanted kind friend baby could never steal another shame friendship end purple rain purple rain purple rain purple rain purple rain purple rain wanted see underneath purple rain honey know know know time changing time reach something new mean say want leader seem make mind think better close let guide purple rain purple rain purple rain purple rain purple rain know singing c mon raise hand purple rain purple rain want see want see purple rain
"It’s a Long Way to the Top
",AC/DC,ridin highway goin show stop byway playin rock n roll gettin robbed gettin stoned gettin beat broken boned gettin gettin took tell folk harder look long way top wanna rock n roll long way top wanna rock n roll think easy doin one night stand try playin rock roll band long way top wanna rock n roll hotel motel make wanna cry lady hard sell know reason gettin old gettin grey gettin ripped underpaid gettin sold second hand go playin band long way top wanna rock n roll long way top wanna rock n roll wanna star stage screen look rough mean long way top wanna rock n roll long way top wanna rock n roll long way top wanna rock n roll long way top wanna rock n roll well long way well long way told long way long way
Thriller,Michael Jackson,close midnight something evil lurkin dark moonlight see sight almost stop heart try scream terror take sound make start freeze horror look right eye paralyzed cause thriller thriller night one gonna save beast strike know thriller thriller night fighting life inside killer thriller tonight hear door slam realize nowhere left run feel cold hand wonder ever see sun close eye hope imagination girl hear creature creepin behind outta time cause thriller thriller night second chance thing forty eye girl thriller thriller night fighting life inside killer thriller tonight night creature call dead start walk masquerade escaping jaw alien time open wide end life get demon closing every side posse unless change number dial time cuddle close together night save terror screen make see thriller thriller night cause thrill ghoul could ever dare try thriller thriller night let hold tight share killer thriller chiller thriller tonight cause thriller thriller night girl thrill ghoul could ever dare try thriller thriller night let hold tight share killer thriller gonna thrill tonight darkness fall across land midnight hour close hand creature crawl search blood terrorize neighborhood whomsoever shall found without soul getting must stand face hound hell rot inside corpse shell gonna thrill tonight foulest stench air funk forty thousand year grisly ghoul every tomb closing seal doom though fight stay alive body start shiver mere mortal resist evil thriller
I Can't Get No Satisfaction,The Rolling Stones,get satisfaction get satisfaction cause try try try try get get driving car man come radio telling useless information supposed fire imagination get hey hey hey say get satisfaction get satisfaction cause try try try try get get watchin tv man come tell white shirt man cause smoke cigarette get hey hey hey say get satisfaction get girl reaction cause try try try try get get ridin round world doin signin tryin make girl tell baby better come back maybe next week see losing streak get hey hey hey say get get get satisfaction satisfaction satisfaction satisfaction get
Dancing Queen,ABBA,dance jive time life see girl watch scene digging dancing queen friday night light low looking place go play right music getting swing come look king anybody could guy night young music high bit rock music everything fine mood dance get chance dancing queen young sweet seventeen dancing queen feel beat tambourine dance jive time life see girl watch scene digging dancing queen teaser turn em leave em burning gone looking another anyone mood dance get chance dancing queen young sweet seventeen dancing queen feel beat tambourine dance jive time life see girl watch scene digging dancing queen digging dancing queen
Livin’ on a Prayer,"Bon Jovi
",upon time long ago tommy used work dock union strike luck tough tough gina work diner day working man brings home pay love love say got hold got make difference make got lot love give shot woah half way woah livin prayer take hand make swear woah livin prayer tommy got six string hock holding used make talk tough tough gina dream running away cry night tommy whisper baby okay someday got hold got make difference make got lot love give shot woah half way woah livin prayer take hand make swear woah livin prayer livin prayer got hold ready live fight got woah half way woah livin prayer take hand make swear woah livin prayer woah half way woah livin prayer take hand make swear woah livin prayer woah half way woah livin prayer take hand make swear woah livin prayer
Friday on My Mind,The Easybeats,monday mornin feel bad ev rybody seems nag comin tuesday feel better even old man look good wed sday go thursday go slow got friday mind gonna fun city girl pretty look fine tonight sight tonight spend bread tonight lose head tonight got get night monday friday mind five day grind know nothin else bug workin rich man hey change scene one day today might mad tomorrow glad cause friday mind gonna fun city girl pretty look fine tonight sight tonight spend bread tonight lose head tonight got get night monday friday mind
Like a Virgin,Madonna,made wilderness somehow made know lost found beat incomplete sad blue made feel made feel shiny new hoo like virgin touched first time like virgin heart beat next mine gonna give love boy fear fading fast saving cause love last fine mine make strong make bold love thawed love thawed scared cold like virgin hey touched first time like virgin heartbeat next mine whoa whoa ah whoa fine mine til end time cause made feel made feel nothing hide like virgin hey touched first time like virgin heartbeat next mine like virgin like virgin feel good inside hold heart beat love
Indestructible,Welshly Arms,eye lock head distorts pull turn ghost got like frozen headlight soft golden skin kiss like heaven open door let got like got like gotta indestructible fire bone nothing touch gotta gotta gotta indestructible heart made stone nothing break gotta indestructible indestructible blood rush touch kill inside feel alive got like got like flashing like red light know gonna keep trying gotta indestructible fire bone nothing touch gotta gotta gotta indestructible heart made stone nothing break gotta indestructible indestructible indestructible standing cold physical wanna let go wanna let go standing cold physical wanna let go wanna let go indestructible fire bone nothing touch gotta gotta gotta indestructible heart made stone nothing break gotta indestructible indestructible indestructible hey ey indestructible indestructible
The Next Episode,Dr. Dre,da da da dah motherfuckin double g snoop dogg da da da dah know mobbin r e know back motherfucker blaze weed blaze blaze blaze shit nigga sup snoop top dogg bite em nigga burn shit p g c nigga turn shit c p l b c hookin back bang club baby got get thug nigga drug dealer givin lowlife yo life boy livin takin chance dancin party sure slipped ho forty fo got back bitch lookin strange know care step motherfucker swangin hair bitch quit talkin crip walk set take bullet dick take dope jet town put father rap yo as get cracked bitch shut yo trap come back get back part success believe x relievin stress da da da dah motherfuckin r e dr dre motherfucker da da da dah know mobbin double g straight fuckin street c p king beat ride em fleet fleetwood coupe deville rollin dub feel whoopty whoop nigga dre snoop chronic llac c back sippin gnac clip strap dippin hood hood compton long beach inglewood south central west side california love california bud got nigga gang pub one might bail century club jean team strong get drink smoke go home somethin poke sup bitch loc two triple comin real next episode hold hey nigga thinkin soft play gonna rock til wheel fall hold hey nigga actin bold take seat hope ready next episode hey hey hey hey smoke weed every day
River,Bishops Briggs,like river like river like river like river like river like river shut mouth run like river fall love harder bullet could hit fall apart faster hairpin trigger say say say say one breath break shut mouth run like river shut mouth baby stand deliver holy hand make sinner like river like river shut mouth run like river choke love til vein start shiver one last breath til tear start wither like river like river shut mouth run like river tale endless heart cursed fool willing change way one kiss away killing say say say say one breath break shut mouth run like river shut mouth baby stand deliver holy hand make sinner like river like river shut mouth run like river choke love til vein start shiver one last breath til tear start wither like river like river shut mouth run like river like river like river like river like river like river like river shut mouth run like river hey hey like river hey like river like river shut mouth baby stand deliver like river like river holy hand make sinner like river like river like river like river shut mouth run like river choke love til vein start shiver like river like river one last breath til tear start wither like river like river like river like river shut mouth run like river
Be Your Love,Bishop Briggs,mma love mma love mma love mma love stone cold sight dark trace light leave alone daylight gone mma love fire burn blessed turn mma love mma love crazy world turn hell earth mma love mma love fire burn blessed turn mma love mma love crazy world turn hell earth mma love mma love bad blood come go still coming home mountain tall tall enough baby rise fall mma love fire burn blessed turn mma love mma love crazy world turn hell earth mma love mma love fire burn blessed turn mma love mma love crazy world turn hell earth mma love mma love mma love mma love mma love mma love mma love mma love mma love mma love fire burn blessed turn mma love mma love crazy world turn hell earth mma love mma love love love love love mma love mma love mma love
Shakedown,The Score,sh sh shakedown start something great come shakedown image head since little kid lost daydream rusting sweat see first time clearly feel break ceiling need stop cause remember feeling night alone faced fear mirror found way show disappear scar fight came year constant reminder got night alone start something great come shakedown sh sh shakedown start something great come shakedown hard count time bled never told greatness come easy others break bend took pain see first time clearly feel break ceiling need stop cause remember feeling night alone faced fear mirror found way show disappear scar fight came year constant reminder got night alone start something great come shakedown sh sh shakedown start something great come shakedown sh sh shakedown start something great come shakedown sometimes fall sometimes break sometimes lost mistake night alone faced fear mirror found way show disappear scar fight came year constant reminder got night alone start something great come shakedown sh sh shakedown start something great come shakedown sh sh shakedown start something great come shakedown
Glitter - Gold,Barns Courtney,flesh bone rise ting ting like glitter gold got fire soul rise ting ting like glitter like glitter gold like glitter walk valley king walk shadow men sold life dream ponder manner thing dark dark dark dark flesh bone arise ting ting like glitter gold got fire soul rise ting ting like glitter like glitter gold like glitter walk meadow spring talk animal hold life string ponder manner thing dark dark dark dark flesh bone arise ting ting like glitter gold got fire soul rise ting ting like glitter flesh bone arise ting ting like glitter gold got fire soul rise ting ting like glitter cause everybody back room spinning remember asking everybody front room tripping left bottle door cause everybody back room spinning remember asking everybody front room tripping left bottle door flesh bone arise ting ting like glitter gold got fire soul rise ting ting like glitter like glitter gold like glitter like glitter gold like glitter
Sinners,Barns Courtney,fortune fortune smiling fate seen much late need cannot wait wanna look around nevermind night still good gram two drinking late morning come around yeaaah must good something yeaaah sinner come come gather round sinner come eh eh dancing cold foot marching cobble street sinner come eh eh yeaaah must good something yeaaah yeaaah luck spinning needle stuck let go fun go put u ground lion sit solemn line drinking gin dropping line wasting beat heart mine morning come around yeaaah must good something yeaaah sinner come come gather round sinner come eh eh dancing cold foot marching cobble street sinner come eh eh yeaaah must good something yeaaah sinner come come gather round little fun put u ground eh eh dancing cold foot marching cobble street sinner come eh eh yeaaah must good something yeaaah
Knockin' On Heaven's Door,Bob Dylan,mama take badge use anymore gettin dark dark see feel like knockin heaven door knock knock knockin heaven door knock knock knockin heaven door knock knock knockin heaven door knock knock knockin heaven door mama put gun ground shoot anymore long black cloud comin feel like knockin heaven door knock knock knockin heaven door knock knock knockin heaven door knock knock knockin heaven door knock knock knockin heaven door
Iron,Woodkid,deep ocean dead cast away innocence burn flame million mile home walking ahead frozen bone soldier know way riding height shame waiting call hand chest ready fight fate sound iron shock stuck head thunder drum dictate rhythm fall number dead rising horn ahead dawn time end day run away want feel pain bitter taste blood lip deadly burst snow burning hand frozen bone million mile home walking away remind eye face
Legend,The Score,go go time set go go red light could never stop dreamer fever great ever want ever wanted wanted fighter fever fame ever want ever wanted got singin like bang bang bang bang bang bang let fire weapon bang bang bang bang bang bang stop till legend stop till legend go go turn make history go go gone remember dreamer fever great ever want ever wanted wanted fighter fever fame ever want ever wanted got singin like bang bang bang bang bang bang let fire weapon bang bang bang bang bang bang stop till legend stop till legend stop till legend blood sweat break bone till scar bleed golden name forever known woah woah blood sweat break bone till scar bleed golden name forever known woah woah blood sweat break bone bang bang till scar bleed golden name forever known bang bang stop till legend bang bang stop till legend stop till legend
Hotel California,Eagles,dark desert highway cool wind hair warm smell colitas rising air ahead distance saw shimmering light head grew heavy sight grew dim stop night stood doorway heard mission bell thinking could heaven could hell lit candle showed way voice corridor thought heard say welcome hotel california lovely place lovely place lovely face plenty room hotel california time year time year find mind tiffany twisted got mercedes benz got lot pretty pretty boy call friend dance courtyard sweet summer sweat dance remember dance forget called captain please bring wine said spirit since still voice calling far away wake middle night hear say welcome hotel california lovely place lovely place lovely face livin hotel california nice surprise nice surprise bring alibi mirror ceiling pink champagne ice said prisoner device master chamber gathered feast stab steely knife kill beast last thing remember running door find passage back place relax said night man programmed receive check time like never leave
Inis Mona,Eleuveitie,welcome land question welcome isle lore veil came crumbling began germination unveiling cryptic door revealed hope aspiration unclosing enthralled door escalate sense enhancing join dawn close eye inis mona reminisce palmy day moon er inis mona long breathe call home year walked barrow year emulous youth followed path wise sown inspiration removing seven seal revealed enigma freedom unclosing unseen door escalate sense enhancing join dawn close eye inis mona reminisce palmy day moon er inis mona long breathe call home escalate sense enhancing join dawn close eye inis mona reminisce palmy day moon er inis mona long breathe call home close eye inis mona reminisce palmy day moon er inis mona long breathe call home
Californication,Red Hot Chili Peppers,psychic spy china try steal mind elation little girl sweden dream silver screen quotation want kind dream californication edge world end western civilization sun may rise east least settled final location understood hollywood sell californication pay surgeon well break spell aging celebrity skin chin war waging firstborn unicorn hardcore soft porn dream californication dream californication dream californication dream californication marry girl fairy world constellation teenage bride baby inside gettin high information buy star boulevard californication space may final frontier made hollywood basement cobain hear sphere singing song station station alderaan far away californication born raised praise control population well everybody mean vacation firstborn unicorn hardcore soft porn dream californication dream californication dream californication dream californication destruction lead rough road also breed creation earthquake girl guitar another good vibration tidal wave save world californication pay surgeon well break spell aging sicker rest test craving firstborn unicorn hardcore soft porn dream californication dream californication dream californication dream californication
Otherside,Red Hot Chili Peppers,long long slide separate side believe bad slit throat ever heard voice photograph thought brought past know never go back gotta take side century meant cemetery marry sea stranger thing could never change mind gotta take side take side take take long long slide separate side believe bad slit throat ever pour life paper cup ashtray full spillin gut want know still slut got take side scarlet starlet bed candidate soul mate bled push trigger pull thread gotta take side take side take take long long slide separate side believe bad slit throat ever turn take hard ride burn leave side yell tell friend tear tear born long long slide separate side believe bad slit throat ever long believe bad slit throat ever
White Flag,Dido,know think still love tell say well still felt sense promise trying make life harder return go ship put hand surrender white flag door love always know left much mess destruction come back caused nothing trouble understand talk live rule sure make sense go ship put hand surrender white flag door love always meet sure still let pas hold tongue think moved go ship put hand surrender white flag door love always go ship put hand surrender white flag door love always go ship put hand surrender white flag door love always
Human,Rag’n Bone Man,human human human maybe foolish maybe blind thinking see see behind got way prove maybe blind human human put blame put blame take look mirror see see clearer deceived believe cause human human put blame put blame people got real problem people luck people think solve lord heaven human human put blame put blame ask opinion ask lie beg forgiveness making cry making cry cause human human put blame put blame people got real problem people luck people think solve lord heaven human human put blame put blame human make mistake human take put blame put blame prophet messiah go looking somewhere higher human human put blame put blame human man put blame put blame
Yes I Do,Monica,december arrived think saturday greece turning white cold really care keep thinking way met feel like fairy tale princess beautiful seen prince make play make smile make safe foolish arm sweetest kiss immortality pretty world world spin inside little mind little mind kissing saying little thing really want say cannot said promise never let death take anyway throw u star star star wish well never die brightest sun crystal sea loudest rhythm beat inside heart make laugh make fly shinny sky well live happiness
Hanging Tree,L.E.J.,coming tree coming tree strung man say murdered three strange thing happen stranger would met midnight hanging tree coming tree dead man called love flee strange thing happen stranger would met midnight hanging tree coming tree told run free strange thing happen stranger would met midnight hanging tree coming tree wear necklace hope side side strange thing happen stranger would met midnight hanging tree coming tree told run free strange thing happen stranger would met midnight hanging tree coming tree strung man say murdered three strange thing happen stranger would met midnight hanging tree coming tree dead man called love flee strange thing happen stranger would met midnight hanging tree
I Don’t Know Why,The Talking Bugs,every night every morning would like kill someone sometimes remember go nowhere lost talk word word sometimes remember know help lost talk word word sometimes remember know help every night every morning would like kill someone sometimes remember go nowhere lost talk word word sometimes remember know help know sometimes find moon know know place near matter know know know alone try explain know sometimes find moon know know place near matter know know know alone try explain
Careless Whisper,"George Michael
",feel unsure take hand lead dance floor music dy something eye call mind silver screen sad good bye never gonna dance guilty foot got rhythm though easy pretend know fool known better cheat friend waste chance given never gonna dance way danced time never mend careless whisper good friend heart mind ignorance kind comfort truth pain find never gonna dance guilty foot got rhythm though easy pretend know fool known better cheat friend known better waste chance given never gonna dance way danced never without love tonight music seems loud wish could lose crowd maybe better way hurt thing want say could good together could lived dance forever gonna dance please stay never gonna dance guilty foot got rhythm though easy pretend know fool known better cheat friend waste chance given never gonna dance way danced gone gone wrong wrong leave alone
Head Up,The Score,lately feeling alone someone give antidote finally understand belong world outside like ocean swim losin grip caught current drown ship swim startin slip runnin breath scared death gotta keep head water water gotta keep head never going never going long air lung blood vein vein going way gotta keep head water water hit bottom break cause million time know much take surface purpose making nervous swim losing grip caught current drown ship swim startin slip runnin breath scared death gotta keep head water water gotta keep head never going never going long air lung blood vein vein going way gotta keep head water water holding still holding get deep holding still holding get deep holding still holding running breath scared death gotta keep head water water gotta keep head never going never going long air lung blood vein vein going way gotta keep head water water
Rituals,Jiovanni Daniel,congratulation entered final round hope know end there diamond crown thought written thickest wall trying cleanse soul trying find clothes gonna play fire better right gonna throw stone get ready fight one crucify lover two full moon three gotta watch soul bleed fear skin let ritual begin burn burn like salem witch trial burn burn like salem witch trial told world burning still end hell put trying view guy artistic view trying cleanse soul trying find clothes gonna play fire better right gonna throw stone get ready fight one crucify lover two full moon three gotta watch soul bleed burn burn like salem witch trial burn burn like salem witch trial oho oho oho oho burn burn burn burn burn burn burn burn burn burn burn burn burn burn like salem witch trial burn burn like salem witch trial
Hope,Stefan Airapetjan,let tell u live die worthy thing promised would never lose pride word worth nothing lie standing tall looking father would proud happy working ground last one breathing hey sing heart boy people great small else lost future still remains taught born lose hey waste breath time choose promised would never lose pride everyday try turn lie standing tall looking father would proud happy working ground said hey sing heart boy people great small else lost future still remains hope hope hope hope hope hope hope hope hope hope let tell u live die worthy thing matter try tearing life know always rise said hey sing heart boy people great small else lost future still remains hope hope hope hope hope hope hope hope future still remains hope hope hope hope hope hope hope hope hope hope hope
Can't Get You out of My Head,Glimmer of Blooms,get head girl lovin think get head girl dare think get head girl lovin think get head girl dare think every night every day arm stay stay lay lay get head girl lovin think get head girl dare think dark secret leave locked heart set free set free feel need
